,sector,type,usd_per_ton,output,share_exporting_firms,cutoff,supply_data,country,country_ISO,final_demand,export
75,NZL_rmk,RMK,1000,9820.6,9.37E-05,0,USD,NZL,NZL,90.32086243,0.92
76,NZL_wol,WOL,1000,742.01,0.874314362,0,USD,NZL,NZL,86.22469716,648.75
77,NZL_frs,FRS,1000,3069.2,0.616971849,0,USD,NZL,NZL,198.6509337,1893.61
78,NZL_fsh,FSH,1000,1177.6,0.293996264,0,USD,NZL,NZL,130.0980195,346.21
79,NZL_coa,COA,1000,563.17,0.580783778,0,USD,NZL,NZL,5.270757293,327.08
80,NZL_oil,OIL,1000,1420.2,0.232833404,0,USD,NZL,NZL,-0.028174948,330.67
81,NZL_gas,GAS,1000,1004.5,0.000139373,0,USD,NZL,NZL,1.600253405,0.14
82,NZL_oxt,OXT,1000,1156.2,0.16123508,0,USD,NZL,NZL,29.02194337,186.42
83,NZL_cmt,CMT,1000,6813.4,0.706123228,0,USD,NZL,NZL,4415.550903,4811.1
84,NZL_omt,OMT,1000,1033.9,0.31966341,0,USD,NZL,NZL,636.4158252,330.5
85,NZL_vol,VOL,1000,133.77,0.781640129,0,USD,NZL,NZL,46.80762158,104.56
